Year,"Electricity consumption per capita, Denmark",Units
2000,6.484,MWh / Capita
2001,6.492,MWh / Capita
2002,6.534,MWh / Capita
2003,6.603,MWh / Capita
2004,6.616,MWh / Capita
2005,6.66,MWh / Capita
2006,6.825,MWh / Capita
2007,6.67,MWh / Capita
2008,6.535,MWh / Capita
2009,6.22,MWh / Capita
2010,6.328,MWh / Capita
2011,6.167,MWh / Capita
2012,6.039,MWh / Capita
2013,6.041,MWh / Capita
2014,5.859,MWh / Capita
2015,5.823,MWh / Capita
2016,5.886,MWh / Capita
2017,5.885,MWh / Capita
2018,5.783,MWh / Capita
2019,5.753,MWh / Capita
2020,5.692,MWh / Capita
2021,6.163,MWh / Capita
2022,5.867,MWh / Capita
2023,5.928,MWh / Capita