Year,"Electricity consumption per capita, Germany",Units
2000,6.697,MWh / Capita
2001,6.832,MWh / Capita
2002,6.978,MWh / Capita
2003,7.1,MWh / Capita
2004,7.209,MWh / Capita
2005,7.244,MWh / Capita
2006,7.327,MWh / Capita
2007,7.352,MWh / Capita
2008,7.318,MWh / Capita
2009,6.948,MWh / Capita
2010,7.401,MWh / Capita
2011,7.282,MWh / Capita
2012,7.252,MWh / Capita
2013,7.217,MWh / Capita
2014,7.036,MWh / Capita
2015,7.032,MWh / Capita
2016,6.972,MWh / Capita
2017,6.947,MWh / Capita
2018,6.816,MWh / Capita
2019,6.58,MWh / Capita
2020,6.367,MWh / Capita
2021,6.583,MWh / Capita
2022,6.285,MWh / Capita
2023,5.957,MWh / Capita