Year,"Electricity consumption per capita, Norway",Units
2000,24.994,MWh / Capita
2001,25.589,MWh / Capita
2002,24.621,MWh / Capita
2003,23.201,MWh / Capita
2004,24.214,MWh / Capita
2005,25.085,MWh / Capita
2006,24.098,MWh / Capita
2007,24.856,MWh / Capita
2008,24.867,MWh / Capita
2009,23.858,MWh / Capita
2010,24.877,MWh / Capita
2011,23.656,MWh / Capita
2012,24.047,MWh / Capita
2013,23.82,MWh / Capita
2014,23.122,MWh / Capita
2015,23.59,MWh / Capita
2016,23.861,MWh / Capita
2017,24.007,MWh / Capita
2018,24.357,MWh / Capita
2019,23.926,MWh / Capita
2020,23.866,MWh / Capita
2021,24.652,MWh / Capita
2022,23.374,MWh / Capita
2023,23.425,MWh / Capita