Year,"Electricity consumption per capita, Sweden",Units
2000,15.682,MWh / Capita
2001,16.021,MWh / Capita
2002,15.709,MWh / Capita
2003,15.361,MWh / Capita
2004,15.42,MWh / Capita
2005,15.43,MWh / Capita
2006,15.262,MWh / Capita
2007,15.258,MWh / Capita
2008,14.869,MWh / Capita
2009,14.142,MWh / Capita
2010,14.935,MWh / Capita
2011,14.031,MWh / Capita
2012,14.29,MWh / Capita
2013,13.871,MWh / Capita
2014,13.48,MWh / Capita
2015,13.524,MWh / Capita
2016,13.676,MWh / Capita
2017,13.498,MWh / Capita
2018,13.331,MWh / Capita
2019,12.811,MWh / Capita
2020,12.608,MWh / Capita
2021,13.018,MWh / Capita
2022,12.418,MWh / Capita
2023,12.121,MWh / Capita