Year,"Electricity consumption per capita, United States",Units
2000,13.66,MWh / Capita
2001,13.035,MWh / Capita
2002,13.281,MWh / Capita
2003,13.284,MWh / Capita
2004,13.368,MWh / Capita
2005,13.683,MWh / Capita
2006,13.563,MWh / Capita
2007,13.636,MWh / Capita
2008,13.643,MWh / Capita
2009,12.894,MWh / Capita
2010,13.373,MWh / Capita
2011,13.216,MWh / Capita
2012,12.929,MWh / Capita
2013,12.957,MWh / Capita
2014,12.948,MWh / Capita
2015,12.817,MWh / Capita
2016,12.796,MWh / Capita
2017,12.594,MWh / Capita
2018,13.044,MWh / Capita
2019,12.667,MWh / Capita
2020,12.385,MWh / Capita
2021,12.546,MWh / Capita
2022,12.986,MWh / Capita
2023,12.705,MWh / Capita