"electricity, Germany",Value,Year,Units
"Imports",45134,2000,GWh
"Imports",45779,2001,GWh
"Imports",48370,2002,GWh
"Imports",49110,2003,GWh
"Imports",48187,2004,GWh
"Imports",56861,2005,GWh
"Imports",48464,2006,GWh
"Imports",45953,2007,GWh
"Imports",41670,2008,GWh
"Imports",41859,2009,GWh
"Imports",42962,2010,GWh
"Imports",51003,2011,GWh
"Imports",46268,2012,GWh
"Imports",39222,2013,GWh
"Imports",40435,2014,GWh
"Imports",37008,2015,GWh
"Imports",28338,2016,GWh
"Imports",27842,2017,GWh
"Imports",31727,2018,GWh
"Imports",40126,2019,GWh
"Imports",47853,2020,GWh
"Imports",51731,2021,GWh
"Imports",49331,2022,GWh
"Imports",69307,2023,GWh
"Exports",-42077,2000,GWh
"Exports",-42122,2001,GWh
"Exports",-38372,2002,GWh
"Exports",-52379,2003,GWh
"Exports",-50808,2004,GWh
"Exports",-61427,2005,GWh
"Exports",-65441,2006,GWh
"Exports",-62508,2007,GWh
"Exports",-61770,2008,GWh
"Exports",-54132,2009,GWh
"Exports",-57917,2010,GWh
"Exports",-54768,2011,GWh
"Exports",-66810,2012,GWh
"Exports",-71415,2013,GWh
"Exports",-74320,2014,GWh
"Exports",-85290,2015,GWh
"Exports",-78863,2016,GWh
"Exports",-80301,2017,GWh
"Exports",-80463,2018,GWh
"Exports",-72793,2019,GWh
"Exports",-66882,2020,GWh
"Exports",-70306,2021,GWh
"Exports",-76587,2022,GWh
"Exports",-60082,2023,GWh