"electricity final consumption by sector in Finland",Value,Year,Units
"Industry",154432,2000, TJ
"Industry",152877,2001, TJ
"Industry",157161,2002, TJ
"Industry",159487,2003, TJ
"Industry",165999,2004, TJ
"Industry",155001,2005, TJ
"Industry",169830,2006, TJ
"Industry",168346,2007, TJ
"Industry",155527,2008, TJ
"Industry",130190,2009, TJ
"Industry",145295,2010, TJ
"Industry",141267,2011, TJ
"Industry",137393,2012, TJ
"Industry",139338,2013, TJ
"Industry",137422,2014, TJ
"Industry",136414,2015, TJ
"Industry",138610,2016, TJ
"Industry",139352,2017, TJ
"Industry",142153,2018, TJ
"Industry",138826,2019, TJ
"Industry",129920,2020, TJ
"Industry",137174,2021, TJ
"Industry",125157,2022, TJ
"Transport",1936,2000, TJ
"Transport",2034,2001, TJ
"Transport",2134,2002, TJ
"Transport",2257,2003, TJ
"Transport",2267,2004, TJ
"Transport",2332,2005, TJ
"Transport",2430,2006, TJ
"Transport",2606,2007, TJ
"Transport",2642,2008, TJ
"Transport",2577,2009, TJ
"Transport",2663,2010, TJ
"Transport",2628,2011, TJ
"Transport",2653,2012, TJ
"Transport",2642,2013, TJ
"Transport",2606,2014, TJ
"Transport",2541,2015, TJ
"Transport",2548,2016, TJ
"Transport",2790,2017, TJ
"Transport",3034,2018, TJ
"Transport",3092,2019, TJ
"Transport",2937,2020, TJ
"Transport",3337,2021, TJ
"Transport",3931,2022, TJ
"Residential",62787,2000, TJ
"Residential",67132,2001, TJ
"Residential",68738,2002, TJ
"Residential",71686,2003, TJ
"Residential",71229,2004, TJ
"Residential",72975,2005, TJ
"Residential",74433,2006, TJ
"Residential",74397,2007, TJ
"Residential",73421,2008, TJ
"Residential",76845,2009, TJ
"Residential",82454,2010, TJ
"Residential",77133,2011, TJ
"Residential",80575,2012, TJ
"Residential",77436,2013, TJ
"Residential",76550,2014, TJ
"Residential",75304,2015, TJ
"Residential",81064,2016, TJ
"Residential",81043,2017, TJ
"Residential",81831,2018, TJ
"Residential",81165,2019, TJ
"Residential",79344,2020, TJ
"Residential",87339,2021, TJ
"Residential",81766,2022, TJ
"Commercial and Public Services",47833,2000, TJ
"Commercial and Public Services",50871,2001, TJ
"Commercial and Public Services",52725,2002, TJ
"Commercial and Public Services",52822,2003, TJ
"Commercial and Public Services",54622,2004, TJ
"Commercial and Public Services",55882,2005, TJ
"Commercial and Public Services",57373,2006, TJ
"Commercial and Public Services",58320,2007, TJ
"Commercial and Public Services",59576,2008, TJ
"Commercial and Public Services",62114,2009, TJ
"Commercial and Public Services",64245,2010, TJ
"Commercial and Public Services",62146,2011, TJ
"Commercial and Public Services",64285,2012, TJ
"Commercial and Public Services",63018,2013, TJ
"Commercial and Public Services",62852,2014, TJ
"Commercial and Public Services",62819,2015, TJ
"Commercial and Public Services",63522,2016, TJ
"Commercial and Public Services",63071,2017, TJ
"Commercial and Public Services",65519,2018, TJ
"Commercial and Public Services",64321,2019, TJ
"Commercial and Public Services",59587,2020, TJ
"Commercial and Public Services",61747,2021, TJ
"Commercial and Public Services",61365,2022, TJ
"Agriculture / Forestry",5475,2000, TJ
"Agriculture / Forestry",5673,2001, TJ
"Agriculture / Forestry",6102,2002, TJ
"Agriculture / Forestry",4870,2003, TJ
"Agriculture / Forestry",5108,2004, TJ
"Agriculture / Forestry",4514,2005, TJ
"Agriculture / Forestry",5662,2006, TJ
"Agriculture / Forestry",6238,2007, TJ
"Agriculture / Forestry",6055,2008, TJ
"Agriculture / Forestry",5792,2009, TJ
"Agriculture / Forestry",5958,2010, TJ
"Agriculture / Forestry",5234,2011, TJ
"Agriculture / Forestry",5702,2012, TJ
"Agriculture / Forestry",5425,2013, TJ
"Agriculture / Forestry",5511,2014, TJ
"Agriculture / Forestry",5507,2015, TJ
"Agriculture / Forestry",5684,2016, TJ
"Agriculture / Forestry",5482,2017, TJ
"Agriculture / Forestry",5428,2018, TJ
"Agriculture / Forestry",5310,2019, TJ
"Agriculture / Forestry",5043,2020, TJ
"Agriculture / Forestry",5940,2021, TJ
"Agriculture / Forestry",4500,2022, TJ